==1519835== NVPROF is profiling process 1519835, command: ./RN 1
==1519835== Profiling application: ./RN 1
==1519835== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.73608s  1.6111ms            (512 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [313]
2.73776s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.73781s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.73781s  62.561us            (512 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [316]
2.73809s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.73811s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.73813s  41.408us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [319]
2.73817s  49.696us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA(float*, float*, float*, int) [320]
2.73822s  28.032us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [321]
2.75326s  44.576us                    -               -         -         -         -  256.00KB  5.4770GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.75331s  1.6364ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [323]
2.75502s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.75506s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.75507s  19.681us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [326]
2.75520s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.75525s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.75525s  11.904us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [329]
2.75527s  8.0640us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [330]
2.78884s  97.248us                    -               -         -         -         -  576.00KB  5.6486GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.78894s  3.9424ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [332]
2.79296s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.79300s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.79301s  19.936us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [335]
2.79316s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.79320s  1.7920us                    -               -         -         -         -      512B  272.48MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.79321s  12.000us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [338]
2.79322s  8.5440us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [339]
2.80835s  87.392us                    -               -         -         -         -  512.00KB  5.5873GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.80844s  1.6162ms            (512 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [341]
2.81013s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.81017s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.81018s  61.504us            (512 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [344]
2.81049s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.81053s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.81054s  40.896us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [347]
2.81058s  49.216us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA(float*, float*, float*, int) [348]
2.81063s  28.064us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [349]
2.82549s  45.056us                    -               -         -         -         -  256.00KB  5.4186GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.82554s  1.6365ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [351]
2.82725s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.82729s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.82730s  18.848us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [354]
2.82743s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.82747s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.82748s  11.905us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [357]
2.82749s  9.1200us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [358]
2.86090s  97.473us                    -               -         -         -         -  576.00KB  5.6356GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.86100s  3.9520ms            (128 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [360]
2.86503s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.86510s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.86511s  19.456us            (128 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [363]
2.86522s  1.7600us                    -               -         -         -         -      512B  277.43MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.86527s  1.7280us                    -               -         -         -         -      512B  282.57MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.86527s  11.968us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [366]
2.86528s  7.3600us            (128 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [367]
2.88029s  86.624us                    -               -         -         -         -  512.00KB  5.6368GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.88039s  1.6150ms            (512 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [369]
2.88207s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.88212s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.88212s  61.793us            (512 1 1)       (28 28 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [372]
2.88244s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.88249s  1.7600us                    -               -         -         -         -  2.0000KB  1.0837GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.88249s  40.832us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [375]
2.88253s  49.856us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA(float*, float*, float*, int) [376]
2.88258s  23.072us            (512 1 1)       (28 28 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [377]
8.18788s  344.26us                    -               -         -         -         -  2.0000MB  5.6734GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.18823s  2.4864ms           (1024 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [405]
8.19079s  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.19084s  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.19084s  30.816us           (1024 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [408]
8.19138s  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.19143s  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.19144s  16.224us           (1024 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [411]
8.22160s  87.392us                    -               -         -         -         -  512.00KB  5.5873GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.22169s  737.32us            (256 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [413]
8.22250s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.22254s  1.9520us                    -               -         -         -         -  1.0000KB  500.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.22255s  8.5440us            (256 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [416]
8.22274s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.22279s  1.9200us                    -               -         -         -         -  1.0000KB  508.63MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.22279s  5.0240us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [419]
8.22280s  3.3920us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [420]
8.35782s  405.92us                    -               -         -         -         -  2.2500MB  5.4130GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.35824s  2.1088ms            (256 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [422]
8.36042s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.36046s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.36047s  9.0240us            (256 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [425]
8.36067s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.36071s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.36073s  4.9600us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [428]
8.36075s  3.1360us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [429]
8.42071s  361.28us                    -               -         -         -         -  2.0000MB  5.4061GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.42107s  868.07us           (1024 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [431]
8.42199s  1.7280us                    -               -         -         -         -  4.0000KB  2.2076GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.42201s  1.7280us                    -               -         -         -         -  4.0000KB  2.2076GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.42202s  30.593us           (1024 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [434]
8.42259s  1.7280us                    -               -         -         -         -  4.0000KB  2.2076GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.42263s  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.42264s  15.936us           (1024 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [437]
8.42265s  16.992us           (1024 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA(float*, float*, float*, int) [438]
8.42267s  10.944us           (1024 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [439]
8.48270s  170.43us                    -               -         -         -         -  1.0000MB  5.7299GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.48288s  912.61us            (256 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [441]
8.48387s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.48391s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.48392s  8.8640us            (256 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [444]
8.48410s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.48415s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.48416s  4.7360us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [447]
8.48416s  3.4560us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [448]
8.61818s  421.73us                    -               -         -         -         -  2.2500MB  5.2101GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.61862s  2.2293ms            (256 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [450]
8.62092s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.62096s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.62097s  8.9600us            (256 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [453]
8.62119s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.62123s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.62123s  5.3120us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [456]
8.62124s  3.5200us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [457]
8.68130s  399.14us                    -               -         -         -         -  2.0000MB  4.8934GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.68170s  859.11us           (1024 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [459]
8.68263s  1.7280us                    -               -         -         -         -  4.0000KB  2.2076GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.68268s  1.7280us                    -               -         -         -         -  4.0000KB  2.2076GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.68268s  30.592us           (1024 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [462]
8.68320s  1.7280us                    -               -         -         -         -  4.0000KB  2.2076GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.68327s  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.68327s  15.744us           (1024 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [465]
8.68329s  17.376us           (1024 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA(float*, float*, float*, int) [466]
8.68331s  10.080us           (1024 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [467]
8.74472s  171.07us                    -               -         -         -         -  1.0000MB  5.7085GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.74489s  933.06us            (256 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [469]
8.74590s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.74594s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.74595s  8.6080us            (256 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [472]
8.74615s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.74625s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.74626s  4.9920us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [475]
8.74626s  3.5520us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [476]
8.88075s  406.75us                    -               -         -         -         -  2.2500MB  5.4020GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.88117s  2.3224ms            (256 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [478]
8.88356s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.88361s  1.7920us                    -               -         -         -         -  1.0000KB  544.96MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.88361s  8.7680us            (256 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [481]
8.88381s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.88385s  1.9520us                    -               -         -         -         -  1.0000KB  500.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.88386s  4.9280us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [484]
8.88387s  3.5520us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [485]
8.94413s  588.74us                    -               -         -         -         -  2.0000MB  3.3175GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.94472s  867.33us           (1024 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [487]
8.94566s  1.7280us                    -               -         -         -         -  4.0000KB  2.2076GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.94571s  1.8240us                    -               -         -         -         -  4.0000KB  2.0914GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.94571s  30.560us           (1024 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [490]
8.94623s  1.7280us                    -               -         -         -         -  4.0000KB  2.2076GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.94628s  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
8.94628s  15.584us           (1024 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [493]
8.94630s  17.185us           (1024 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA(float*, float*, float*, int) [494]
8.94632s  10.464us           (1024 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [495]
9.00640s  170.91us                    -               -         -         -         -  1.0000MB  5.7138GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
9.00658s  984.39us            (256 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [497]
9.00763s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
9.00768s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
9.00768s  8.9280us            (256 1 1)       (14 14 1)        22        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA(float*, float*, float*, int, int) [500]
9.00787s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
9.00792s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
9.00792s  5.1200us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA(float*, float*, float*, int, int) [503]
9.00793s  3.7440us            (256 1 1)       (14 14 1)         8        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA(float*, int) [504]
9.14211s  419.78us                    -               -         -         -         -  2.2500MB  5.2344GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
9.14254s  2.2122ms            (256 1 1)       (14 14 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [506]
9.14482s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
9.14487s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
