==1519835== NVPROF is profiling process 1519835, command: ./RN 1
==1519835== Profiling application: ./RN 1
==1519835== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.51082s  9.7920us                    -               -         -         -         -  64.000KB  6.2332GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.51083s  2.1040ms            (256 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [171]
2.51301s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.51306s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.51306s  132.87us            (256 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [174]
2.51326s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.51330s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.51331s  113.63us            (256 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [177]
2.51342s  131.94us            (256 1 1)       (32 32 1)        21        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA_split(float*, float*, float*, int, int) [178]
2.51355s  74.784us            (256 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [179]
2.51717s  9.7920us                    -               -         -         -         -  64.000KB  6.2332GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.51719s  2.4022ms             (64 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [181]
2.51966s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.51971s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.51971s  38.624us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [184]
2.51982s  1.8560us                    -               -         -         -         -      256B  131.54MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.51987s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.51987s  26.496us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [187]
2.51990s  18.048us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [188]
2.52829s  26.560us                    -               -         -         -         -  144.00KB  5.1705GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.52833s  4.7661ms             (64 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [190]
2.53317s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.53321s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.53321s  38.016us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [193]
2.53334s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.53338s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.53339s  26.593us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [196]
2.53342s  18.528us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [197]
2.53721s  9.8560us                    -               -         -         -         -  64.000KB  6.1927GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.53723s  2.1173ms            (256 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [199]
2.53941s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.53948s  1.7920us                    -               -         -         -         -  1.0000KB  544.96MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.53949s  133.54us            (256 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [202]
2.53969s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.53973s  1.9200us                    -               -         -         -         -  1.0000KB  508.63MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.53974s  115.36us            (256 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [205]
2.53986s  132.80us            (256 1 1)       (32 32 1)        21        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA_split(float*, float*, float*, int, int) [206]
2.53999s  67.776us            (256 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [207]
2.54358s  9.7920us                    -               -         -         -         -  64.000KB  6.2332GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.54360s  2.4080ms             (64 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [209]
2.54608s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.54610s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.54612s  38.945us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [212]
2.54618s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.54621s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.54623s  26.208us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [215]
2.54626s  18.496us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [216]
2.55468s  26.944us                    -               -         -         -         -  144.00KB  5.0968GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.55472s  4.7865ms             (64 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [218]
2.55958s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.55962s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.55962s  37.952us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [221]
2.55973s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.55977s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.55978s  25.760us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [224]
2.55980s  16.576us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [225]
2.56359s  9.7920us                    -               -         -         -         -  64.000KB  6.2332GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.56361s  2.0992ms            (256 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [227]
2.56577s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
2.56579s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
