==1519539== NVPROF is profiling process 1519539, command: ./RN 1
==1519539== Error: File already exists: /playpen/leochanj/fgpure/Modified-NVIDIA-Linux-x86_64-460.67/ResNet/test.profout
==1519539== Use "-f" to overwrite existing file
==1519539== Profiling application: ./RN 1
==1519539== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
1.8e+10s  26.400us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [168]
1.8e+10s  17.152us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [169]
1.8e+10s  9.7920us                    -               -         -         -         -  64.000KB  6.2332GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  2.0789ms            (256 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [171]
1.8e+10s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  131.91us            (256 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [174]
1.8e+10s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.8880us                    -               -         -         -         -  1.0000KB  517.25MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  111.68us            (256 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [177]
1.8e+10s  133.44us            (256 1 1)       (32 32 1)        21        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA_split(float*, float*, float*, int, int) [178]
1.8e+10s  79.202us            (256 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [179]
1.8e+10s  9.7920us                    -               -         -         -         -  64.000KB  6.2332GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  2.3854ms             (64 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [181]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  38.112us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [184]
1.8e+10s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  26.145us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [187]
1.8e+10s  17.376us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [188]
1.8e+10s  26.849us                    -               -         -         -         -  144.00KB  5.1149GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  4.7327ms             (64 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [190]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  37.729us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [193]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  25.536us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [196]
1.8e+10s  17.569us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [197]
1.8e+10s  9.8560us                    -               -         -         -         -  64.000KB  6.1927GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  2.1042ms            (256 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [199]
1.8e+10s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7920us                    -               -         -         -         -  1.0000KB  544.96MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  132.13us            (256 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [202]
1.8e+10s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  112.07us            (256 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [205]
1.8e+10s  136.26us            (256 1 1)       (32 32 1)        21        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA_split(float*, float*, float*, int, int) [206]
1.8e+10s  67.393us            (256 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [207]
1.8e+10s  9.8560us                    -               -         -         -         -  64.000KB  6.1927GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  2.3918ms             (64 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [209]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  38.785us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [212]
1.8e+10s  1.7290us                    -               -         -         -         -      256B  141.20MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -      256B  138.72MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  26.720us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [215]
1.8e+10s  18.880us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [216]
1.8e+10s  26.592us                    -               -         -         -         -  144.00KB  5.1643GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  4.7335ms             (64 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [218]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  37.760us             (64 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [221]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -      256B  141.29MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  26.081us             (64 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [224]
1.8e+10s  16.320us             (64 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [225]
1.8e+10s  9.8560us                    -               -         -         -         -  64.000KB  6.1927GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  2.0992ms            (256 1 1)       (32 32 1)        40        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda_split(float*, float*, float*, float*, int, int, int, int, int, int, int, int, int) [227]
1.8e+10s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  135.71us            (256 1 1)       (32 32 1)        36        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeBnNormLayerCUDA_split(float*, float*, float*, int, int, int) [230]
1.8e+10s  1.7600us                    -               -         -         -         -  1.0000KB  554.87MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  1.7280us                    -               -         -         -         -  1.0000KB  565.14MB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  113.28us            (256 1 1)       (32 32 1)        25        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeScaleLayerCUDA_split(float*, float*, float*, int, int, int) [233]
1.8e+10s  137.60us            (256 1 1)       (32 32 1)        21        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeEltWiseLayerCUDA_split(float*, float*, float*, int, int) [234]
1.8e+10s  67.041us            (256 1 1)       (32 32 1)        20        0B        0B         -           -           -           -  GeForce GTX 108         1         7  executeReLULayerCUDA_split(float*, int, int) [235]
1.8e+10s  87.361us                    -               -         -         -         -  512.00KB  5.5892GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
1.8e+10s  3.9051ms            (512 1 1)       (28 28 1)        31        0B        0B         -           -           -           -  GeForce GTX 108         1         7  execute3DconvolutionCuda(float*, float*, float*, float*, int, int, int, int, int, int, int, int) [261]
1.8e+10s  1.7280us                    -               -         -         -         -  2.0000KB  1.1038GB/s    Pageable      Device  GeForce GTX 108         1         7  [CUDA memcpy HtoD]
